team_id,team_name,match_date,opponent,home_away,team_score,opponent_score,espn_event_id,espn_event_url,team_odds_american,opponent_odds_american,draw_odds_american
212,Uruguay,2026-03-31,Algeria,away,0,0,401862321,https://www.espn.com/soccer/match/_/gameId/401862321/uruguay-algeria,-105,+260,+240
212,Uruguay,2025-03-25,Bolivia,away,0,0,684644,https://www.espn.com/soccer/match/_/gameId/684644/uruguay-bolivia,+170,+170,+200
212,Uruguay,2025-06-10,Venezuela,home,2,0,684657,https://www.espn.com/soccer/match/_/gameId/684657/venezuela-uruguay,,,
212,Uruguay,2025-09-04,Peru,home,3,0,684662,https://www.espn.com/soccer/match/_/gameId/684662/peru-uruguay,-227,+725,+300
212,Uruguay,2025-06-05,Paraguay,away,0,2,684651,https://www.espn.com/soccer/match/_/gameId/684651/uruguay-paraguay,+210,+170,+160
212,Uruguay,2024-06-28,Bolivia,home,5,0,690718,https://www.espn.com/soccer/match/_/gameId/690718/bolivia-uruguay,,,
212,Uruguay,2024-09-01,Guatemala,home,1,1,716795,https://www.espn.com/soccer/match/_/gameId/716795/guatemala-uruguay,+350,-175,+275
212,Uruguay,2024-06-24,Panama,home,3,1,690710,https://www.espn.com/soccer/match/_/gameId/690710/panama-uruguay,-455,+1400,+500
212,Uruguay,2025-11-16,Mexico,away,0,0,758718,https://www.espn.com/soccer/match/_/gameId/758718/uruguay-mexico,+145,+175,+225
212,Uruguay,2024-07-07,Brazil,home,0,0,703949,https://www.espn.com/soccer/match/_/gameId/703949/brazil-uruguay,,,
212,Uruguay,2024-07-14,Canada,away,2,2,703952,https://www.espn.com/soccer/match/_/gameId/703952/uruguay-canada,-222,+550,+350
212,Uruguay,2025-10-13,Uzbekistan,away,2,1,758411,https://www.espn.com/soccer/match/_/gameId/758411/uruguay-uzbekistan,-137,+375,+250
212,Uruguay,2024-07-02,United States,away,1,0,690725,https://www.espn.com/soccer/match/_/gameId/690725/uruguay-united-states,,,
212,Uruguay,2024-09-06,Paraguay,home,0,0,684612,https://www.espn.com/soccer/match/_/gameId/684612/paraguay-uruguay,,,
212,Uruguay,2024-10-12,Peru,away,0,1,684621,https://www.espn.com/soccer/match/_/gameId/684621/uruguay-peru,,,
212,Uruguay,2025-10-10,Dominican Republic,home,1,0,758400,https://www.espn.com/soccer/match/_/gameId/758400/dominican-republic-uruguay,-303,+700,+450
212,Uruguay,2024-11-16,Colombia,home,3,2,684630,https://www.espn.com/soccer/match/_/gameId/684630/colombia-uruguay,,,
212,Uruguay,2026-03-27,England,away,1,1,762553,https://www.espn.com/soccer/match/_/gameId/762553/uruguay-england,+475,-182,+320
212,Uruguay,2025-03-21,Argentina,home,0,1,684642,https://www.espn.com/soccer/match/_/gameId/684642/argentina-uruguay,+160,+195,+185
2570,Uzbekistan,2024-09-10,Kyrgyz Republic,away,3,2,710445,https://www.espn.com/soccer/match/_/gameId/710445/uzbekistan-kyrgyz-republic,,,
2570,Uzbekistan,2024-10-15,United Arab Emirates,home,1,0,710464,https://www.espn.com/soccer/match/_/gameId/710464/united-arab-emirates-uzbekistan,+170,+165,+200
2570,Uzbekistan,2024-11-19,North Korea,away,1,0,710484,https://www.espn.com/soccer/match/_/gameId/710484/uzbekistan-north-korea,,,
2570,Uzbekistan,2025-11-18,Iran,home,0,0,761122,https://www.espn.com/soccer/match/_/gameId/761122/iran-uzbekistan,+190,+130,+200
2570,Uzbekistan,2024-03-26,Hong Kong,home,3,0,687439,https://www.espn.com/soccer/match/_/gameId/687439/hong-kong-uzbekistan,-1667,+2800,+1400
2570,Uzbekistan,2025-03-25,Iran,away,2,2,710499,https://www.espn.com/soccer/match/_/gameId/710499/uzbekistan-iran,,,
2570,Uzbekistan,2024-06-11,Iran,away,0,0,687436,https://www.espn.com/soccer/match/_/gameId/687436/uzbekistan-iran,,,
2570,Uzbekistan,2025-06-10,Qatar,home,3,0,710518,https://www.espn.com/soccer/match/_/gameId/710518/qatar-uzbekistan,-172,+500,+270
2570,Uzbekistan,2024-01-30,Thailand,home,2,1,698046,https://www.espn.com/soccer/match/_/gameId/698046/thailand-uzbekistan,-154,+475,+260
2570,Uzbekistan,2024-01-23,Australia,away,1,1,668945,https://www.espn.com/soccer/match/_/gameId/668945/uzbekistan-australia,+240,+138,+190
2570,Uzbekistan,2024-09-05,North Korea,home,1,0,710435,https://www.espn.com/soccer/match/_/gameId/710435/north-korea-uzbekistan,,,
2570,Uzbekistan,2024-10-10,Iran,home,0,0,710454,https://www.espn.com/soccer/match/_/gameId/710454/iran-uzbekistan,,,
2570,Uzbekistan,2024-11-14,Qatar,away,2,3,710473,https://www.espn.com/soccer/match/_/gameId/710473/uzbekistan-qatar,,,
2570,Uzbekistan,2024-03-21,Hong Kong,away,2,0,687438,https://www.espn.com/soccer/match/_/gameId/687438/uzbekistan-hong-kong,,,
2570,Uzbekistan,2025-03-20,Kyrgyz Republic,home,1,0,710491,https://www.espn.com/soccer/match/_/gameId/710491/kyrgyz-republic-uzbekistan,,,
2570,Uzbekistan,2024-06-06,Turkmenistan,home,3,1,687440,https://www.espn.com/soccer/match/_/gameId/687440/turkmenistan-uzbekistan,,,
2570,Uzbekistan,2025-06-05,United Arab Emirates,away,0,0,710511,https://www.espn.com/soccer/match/_/gameId/710511/uzbekistan-united-arab-emirates,,,
2570,Uzbekistan,2024-01-18,India,away,3,0,668934,https://www.espn.com/soccer/match/_/gameId/668934/uzbekistan-india,-500,+1400,+500
2570,Uzbekistan,2024-02-03,Qatar,away,1,1,698209,https://www.espn.com/soccer/match/_/gameId/698209/uzbekistan-qatar,,,
2570,Uzbekistan,2025-10-13,Uruguay,home,1,2,758411,https://www.espn.com/soccer/match/_/gameId/758411/uruguay-uzbekistan,+375,-137,+250
2570,Uzbekistan,2026-03-30,Venezuela,home,0,0,401861040,https://www.espn.com/soccer/match/_/gameId/401861040/venezuela-uzbekistan,+120,+180,+225
2570,Uzbekistan,2026-06-02,Canada,away,0,2,401853575,https://www.espn.com/soccer/match/_/gameId/401853575/uzbekistan-canada,+475,-175,+250
2570,Uzbekistan,2026-01-26,China,home,2,2,401857718,https://www.espn.com/soccer/match/_/gameId/401857718/china-uzbekistan,,,
2570,Uzbekistan,2025-11-14,Egypt,away,2,0,759988,https://www.espn.com/soccer/match/_/gameId/759988/uzbekistan-egypt,+110,+220,+210
2570,Uzbekistan,2026-03-27,Gabon,home,3,1,401866483,https://www.espn.com/soccer/match/_/gameId/401866483/gabon-uzbekistan,-175,+475,+290
