Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,BbMx>2.5,BbMx<2.5,BbAHh
F1,30/11/13,Valenciennes,Lille,0,1,0,0,260,220,110,138,-149,0.5
F1,01/12/13,Bastia,Evian Thonon Gaillard,2,0,0,0,100,210,320,120,-120,-0.5
F1,01/12/13,Bordeaux,Ajaccio,4,0,1,0,-227,300,700,120,-120,-1
F1,01/12/13,Paris SG,Lyon,4,0,2,0,-278,375,750,-141,133,-1.5
F1,03/12/13,Lille,Marseille,1,0,0,0,100,225,290,162,-167,-0.5
F1,03/12/13,Nantes,Valenciennes,2,1,0,0,-137,240,425,145,-154,-0.5
F1,03/12/13,Nice,Monaco,0,3,0,2,375,240,-125,122,-133,0.5
F1,04/12/13,Ajaccio,Bastia,1,1,0,1,250,210,120,134,-149,0.25
F1,04/12/13,Evian Thonon Gaillard,Paris SG,2,0,0,0,750,400,-303,-128,122,1.5
F1,04/12/13,Guingamp,Bordeaux,0,1,0,1,150,200,200,150,-154,-0.25
F1,04/12/13,Montpellier,Lorient,0,2,0,0,-110,230,320,138,-149,-0.5
F1,04/12/13,Rennes,St Etienne,3,1,1,0,188,200,160,138,-149,0
F1,04/12/13,Sochaux,Reims,0,2,0,1,110,220,260,135,-141,-0.5
F1,05/12/13,Lyon,Toulouse,1,1,1,0,-120,220,375,127,-132,-0.5
F1,06/12/13,Marseille,Nantes,0,1,0,1,-118,230,350,136,-143,-0.5
F1,07/12/13,Lorient,Rennes,2,0,1,0,110,220,260,131,-137,-0.25
F1,07/12/13,Paris SG,Sochaux,5,0,1,0,-909,750,2000,-200,188,-2.25
F1,07/12/13,Reims,Nice,1,0,0,0,120,220,240,130,-137,-0.25
F1,07/12/13,Valenciennes,Guingamp,1,1,1,0,130,210,225,151,-161,0
F1,08/12/13,Bastia,Lyon,1,3,1,0,180,210,160,113,-122,0
F1,08/12/13,Bordeaux,Lille,1,0,1,0,170,200,180,163,-182,0
F1,08/12/13,Monaco,Ajaccio,1,0,0,0,-714,600,2000,-149,138,-2
F1,08/12/13,Toulouse,Montpellier,1,1,0,1,100,230,280,150,-161,-0.25
F1,13/12/13,Montpellier,St Etienne,0,1,0,0,140,220,200,120,-122,0
