Div,Div,Div,Div,Div,Div,Div,HTHG,HTAG,B365H,B365D,B365A,B365>2.5,B365<2.5,AHCh
D1,12/12/2020,14:30,RB Leipzig,Werder Bremen,2,0,2,0,-278,400,750,-189,150,-1.5
D1,12/12/2020,17:30,Union Berlin,Bayern Munich,1,1,1,0,750,500,-357,-303,240,1.75
D1,13/12/2020,14:30,Augsburg,Schalke 04,2,2,1,0,-111,275,280,-111,-111,-0.25
D1,13/12/2020,17:00,Leverkusen,Hoffenheim,4,1,2,0,-133,333,300,-250,200,-0.75
D1,15/12/2020,17:30,Ein Frankfurt,M'gladbach,3,3,3,1,162,280,145,-227,175,0
D1,15/12/2020,19:30,Hertha,Mainz,0,0,0,0,-139,300,350,-139,110,-0.5
D1,15/12/2020,19:30,Stuttgart,Union Berlin,2,2,0,1,105,260,240,-139,110,-0.5
D1,15/12/2020,19:30,Werder Bremen,Dortmund,1,2,1,1,450,400,-200,-175,137,1.25
D1,16/12/2020,17:30,Schalke 04,Freiburg,0,2,0,0,190,250,130,-139,110,0.25
D1,16/12/2020,19:30,Bayern Munich,Wolfsburg,2,1,1,1,-303,450,750,-333,250,-1.5
D1,16/12/2020,19:30,Bielefeld,Augsburg,0,1,0,0,187,230,150,110,-139,0
D1,16/12/2020,19:30,FC Koln,Leverkusen,0,4,0,2,400,320,-164,-152,120,1
D1,16/12/2020,19:30,Hoffenheim,RB Leipzig,0,1,0,0,350,350,-167,-250,200,1
D1,18/12/2020,19:30,Union Berlin,Dortmund,2,1,0,0,375,300,-154,-139,110,0.75
D1,19/12/2020,14:30,Augsburg,Ein Frankfurt,0,2,0,0,280,275,-105,-164,130,0.5
D1,19/12/2020,14:30,Mainz,Werder Bremen,0,1,0,0,137,250,190,-111,-111,-0.25
D1,19/12/2020,14:30,M'gladbach,Hoffenheim,1,2,1,0,-111,320,250,-250,200,-0.5
D1,19/12/2020,14:30,RB Leipzig,FC Koln,0,0,0,0,-357,475,850,-189,150,-1.25
D1,19/12/2020,14:30,Schalke 04,Bielefeld,0,1,0,0,115,240,240,100,-125,-0.25
D1,19/12/2020,17:30,Leverkusen,Bayern Munich,1,2,1,1,300,320,-120,-278,220,0.5
D1,20/12/2020,14:30,Freiburg,Hertha,4,1,1,0,150,250,170,-125,100,0
D1,20/12/2020,17:00,Wolfsburg,Stuttgart,1,0,0,0,125,260,200,-175,137,0
D1,02/01/2021,14:30,Bielefeld,M'gladbach,0,1,0,0,475,333,-189,-139,110,0.75
D1,02/01/2021,14:30,Ein Frankfurt,Leverkusen,2,1,1,1,220,260,110,-189,150,0.25
D1,02/01/2021,14:30,FC Koln,Augsburg,0,1,0,0,135,240,200,100,-125,-0.25
D1,02/01/2021,14:30,Hoffenheim,Freiburg,1,3,0,3,100,280,230,-189,150,-0.25
D1,02/01/2021,14:30,Werder Bremen,Union Berlin,0,2,0,2,190,230,137,100,-125,0.25
D1,02/01/2021,17:30,Hertha,Schalke 04,3,0,1,0,-154,300,380,-125,100,-0.75
D1,02/01/2021,19:30,Stuttgart,RB Leipzig,0,1,0,0,280,300,-125,-189,150,0.75
D1,03/01/2021,14:30,Dortmund,Wolfsburg,2,0,0,0,-182,320,475,-189,150,-1
D1,03/01/2021,17:00,Bayern Munich,Mainz,5,2,0,2,-833,800,1800,-455,333,-2.75
D1,08/01/2021,19:30,M'gladbach,Bayern Munich,3,2,2,2,375,375,-175,-333,250,1
D1,09/01/2021,14:30,Freiburg,FC Koln,5,0,2,0,-111,260,280,-111,-111,-0.25
D1,09/01/2021,14:30,Leverkusen,Werder Bremen,1,1,0,0,-227,375,550,-152,120,-1
D1,09/01/2021,14:30,Mainz,Ein Frankfurt,0,2,0,1,250,280,-105,-189,150,0.5
D1,09/01/2021,14:30,Schalke 04,Hoffenheim,4,0,1,0,350,300,-139,-189,150,0.75
D1,09/01/2021,14:30,Union Berlin,Wolfsburg,2,2,1,1,190,230,145,-111,-111,0.25
D1,09/01/2021,17:30,RB Leipzig,Dortmund,1,3,0,0,120,250,220,-139,110,0
D1,10/01/2021,14:30,Augsburg,Stuttgart,1,4,0,2,225,260,110,-125,100,0.5
D1,10/01/2021,17:00,Bielefeld,Hertha,1,0,0,0,300,275,-118,100,-125,0.5
D1,15/01/2021,19:30,Union Berlin,Leverkusen,1,0,0,0,230,250,120,-111,-111,0.25
D1,16/01/2021,14:30,Dortmund,Mainz,1,1,0,0,-500,600,1200,-278,220,-2
D1,16/01/2021,14:30,FC Koln,Hertha,0,0,0,0,225,240,125,110,-139,0.25
D1,16/01/2021,14:30,Hoffenheim,Bielefeld,0,0,0,0,-152,300,400,-139,110,-0.75
D1,16/01/2021,14:30,Werder Bremen,Augsburg,2,0,0,0,115,230,250,110,-139,-0.25
D1,16/01/2021,14:30,Wolfsburg,RB Leipzig,2,2,2,1,260,260,100,-139,110,0.5
D1,16/01/2021,17:30,Stuttgart,M'gladbach,2,2,0,1,200,250,130,-227,175,0
D1,17/01/2021,14:30,Bayern Munich,Freiburg,2,1,1,0,-455,650,1000,-400,300,-2
D1,17/01/2021,17:00,Ein Frankfurt,Schalke 04,3,1,1,1,-200,333,550,-189,150,-1
D1,19/01/2021,17:30,M'gladbach,Werder Bremen,1,0,0,0,-175,320,475,-139,110,-1
D1,19/01/2021,19:30,Hertha,Hoffenheim,0,3,0,1,125,250,210,-152,120,-0.25
D1,19/01/2021,19:30,Leverkusen,Dortmund,2,1,1,0,210,280,115,-189,150,0.5
