Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,BbAv>2.5,BbAv<2.5,BbAHh
D1,17/11/12,Dortmund,Greuther Furth,3,1,3,1,-588,600,1400,-250,179,-2
D1,17/11/12,Ein Frankfurt,Augsburg,4,2,2,1,-137,275,350,-135,109,-0.75
D1,17/11/12,Hamburg,Mainz,1,0,0,0,140,240,180,-110,-112,-0.25
D1,17/11/12,Hannover,Freiburg,1,2,1,1,110,240,240,-139,110,-0.25
D1,17/11/12,Leverkusen,Schalke 04,2,0,1,0,163,250,150,-175,132,0
D1,17/11/12,M'gladbach,Stuttgart,1,2,1,1,138,240,188,-143,114,0
D1,17/11/12,Nurnberg,Bayern Munich,1,1,0,1,900,450,-345,-179,135,1.5
D1,18/11/12,Hoffenheim,Wolfsburg,1,3,0,2,125,240,210,-139,112,-0.25
D1,18/11/12,Werder Bremen,Fortuna Dusseldorf,2,1,0,1,-189,310,500,-161,128,-1
D1,23/11/12,Fortuna Dusseldorf,Hamburg,2,0,1,0,200,225,138,-101,-123,0.25
D1,24/11/12,Bayern Munich,Hannover,5,0,3,0,-588,600,1400,-323,227,-2.25
D1,24/11/12,Greuther Furth,Nurnberg,0,0,0,0,150,230,175,108,-135,0
D1,24/11/12,Mainz,Dortmund,1,2,1,2,450,275,-161,-141,112,0.75
D1,24/11/12,Schalke 04,Ein Frankfurt,1,1,1,1,-200,333,500,-227,166,-1
D1,24/11/12,Wolfsburg,Werder Bremen,1,1,0,1,125,240,210,-172,130,0
D1,25/11/12,Augsburg,M'gladbach,1,1,1,0,138,225,200,108,-137,0
D1,25/11/12,Freiburg,Stuttgart,3,0,1,0,120,250,210,-141,112,-0.25
D1,25/11/12,Hoffenheim,Leverkusen,1,2,0,2,210,240,125,-169,127,0.25
D1,27/11/12,Dortmund,Fortuna Dusseldorf,1,1,1,0,-769,700,1800,-263,190,-2.5
D1,27/11/12,Ein Frankfurt,Mainz,1,3,0,2,110,240,240,-132,106,-0.25
D1,27/11/12,Hamburg,Schalke 04,3,1,0,0,350,250,-125,-122,-102,0.75
D1,27/11/12,Hannover,Greuther Furth,2,0,1,0,-161,300,400,-132,105,-0.75
D1,28/11/12,Freiburg,Bayern Munich,0,2,0,1,700,375,-278,-189,139,1.5
D1,28/11/12,M'gladbach,Wolfsburg,2,0,2,0,138,240,188,-119,-105,-0.25
D1,28/11/12,Nurnberg,Hoffenheim,4,2,2,1,130,240,200,-105,-119,0
D1,28/11/12,Stuttgart,Augsburg,2,1,1,1,-167,300,425,-152,118,-1
D1,28/11/12,Werder Bremen,Leverkusen,1,4,0,1,160,250,155,-164,128,0
D1,30/11/12,Fortuna Dusseldorf,Ein Frankfurt,4,0,2,0,188,240,138,-116,-106,0
D1,01/12/12,Augsburg,Freiburg,1,1,1,1,150,230,175,107,-133,0
D1,01/12/12,Bayern Munich,Dortmund,1,1,0,0,-133,280,333,-164,129,-0.75
D1,01/12/12,Greuther Furth,Stuttgart,0,1,0,1,200,240,130,-114,-110,0
D1,01/12/12,Leverkusen,Nurnberg,1,0,1,0,-200,333,500,-145,114,-1
D1,01/12/12,Mainz,Hannover,2,1,1,1,100,250,260,-119,-104,-0.25
D1,01/12/12,Schalke 04,M'gladbach,1,1,0,0,-227,350,550,-147,117,-1
D1,02/12/12,Hoffenheim,Werder Bremen,1,4,0,2,160,230,163,-161,126,0
D1,02/12/12,Wolfsburg,Hamburg,1,1,0,1,-110,260,275,-122,-102,-0.25
D1,07/12/12,Hamburg,Hoffenheim,2,0,1,0,100,250,275,-118,-105,-0.25
D1,08/12/12,Augsburg,Bayern Munich,0,2,0,1,900,450,-345,-169,129,1.5
D1,08/12/12,Dortmund,Wolfsburg,2,3,1,2,-345,450,900,-233,171,-1.5
D1,08/12/12,Ein Frankfurt,Werder Bremen,4,1,0,0,140,250,180,-192,144,-0.25
D1,08/12/12,Freiburg,Greuther Furth,1,0,1,0,-143,260,400,-102,-122,-0.75
D1,08/12/12,Nurnberg,Fortuna Dusseldorf,2,0,1,0,-110,230,320,114,-143,-0.5
D1,08/12/12,Stuttgart,Schalke 04,3,1,2,1,210,240,125,-133,107,0.25
D1,09/12/12,Hannover,Leverkusen,3,2,1,1,180,250,140,-159,125,0
