Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,BbAv>2.5,BbAv<2.5,BbAHh
SP1,27/10/2018,Ath Madrid,Sociedad,2,0,1,0,-189,280,650,122,-154,-1
SP1,27/10/2018,Celta,Eibar,4,0,2,0,114,230,260,-103,-120,-0.25
SP1,27/10/2018,Girona,Vallecano,2,1,2,0,-118,250,350,-112,-110,-1
SP1,27/10/2018,Levante,Leganes,2,0,1,0,110,225,275,104,-130,0
SP1,28/10/2018,Alaves,Villarreal,2,1,0,1,200,220,150,124,-156,0.25
SP1,28/10/2018,Barcelona,Real Madrid,5,1,2,0,-105,280,260,-189,146,-0.25
SP1,28/10/2018,Getafe,Betis,2,0,0,0,140,210,225,152,-192,-0.25
SP1,28/10/2018,Sevilla,Huesca,2,1,0,0,-455,550,1200,-238,177,-2
SP1,03/11/2018,Leganes,Ath Madrid,1,1,0,0,475,240,-139,165,-213,1
SP1,03/11/2018,Real Madrid,Valladolid,2,0,0,0,-625,700,1400,-286,213,-2
SP1,03/11/2018,Valencia,Girona,0,1,0,0,-200,300,650,105,-130,-1
SP1,03/11/2018,Vallecano,Barcelona,2,3,1,1,850,500,-357,-238,181,2
SP1,04/11/2018,Betis,Celta,3,3,1,0,-125,280,350,-111,-111,-0.75
SP1,04/11/2018,Eibar,Alaves,2,1,0,1,104,230,290,128,-161,-0.25
SP1,04/11/2018,Huesca,Getafe,1,1,0,0,260,230,110,143,-182,0.25
SP1,04/11/2018,Sociedad,Sevilla,0,0,0,0,175,250,145,-139,111,0.25
SP1,04/11/2018,Villarreal,Levante,1,1,0,0,-182,300,500,-164,129,-1
SP1,05/11/2018,Espanol,Ath Bilbao,1,0,1,0,100,230,300,122,-154,-0.25
SP1,09/11/2018,Levante,Sociedad,1,3,1,0,162,240,162,-104,-118,-0.25
SP1,10/11/2018,Ath Madrid,Ath Bilbao,3,2,0,1,-227,300,800,139,-175,-1
SP1,10/11/2018,Getafe,Valencia,0,1,0,0,175,210,175,158,-204,0.25
SP1,10/11/2018,Girona,Leganes,0,0,0,0,104,220,275,139,-175,-0.25
SP1,10/11/2018,Valladolid,Eibar,0,0,0,0,130,230,225,129,-161,-0.25
SP1,11/11/2018,Alaves,Huesca,2,1,1,1,-125,260,333,117,-145,-0.75
SP1,11/11/2018,Barcelona,Betis,3,4,0,2,-556,600,1200,-333,240,-2
