Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,B365>2.5,B365<2.5,AHCh
E0,26/12/2017,Huddersfield,Stoke,1,1,1,0,150,220,220,140,-149,-0.25
E0,26/12/2017,Liverpool,Swansea,5,0,1,0,-625,800,1800,-222,210,-2.25
E0,26/12/2017,Man United,Burnley,2,2,0,2,-400,550,1400,-118,117,-1.75
E0,26/12/2017,Tottenham,Southampton,5,2,2,0,-278,425,900,-133,128,-1.5
E0,26/12/2017,Watford,Leicester,2,1,1,1,154,250,187,-122,116,-0.25
E0,26/12/2017,West Brom,Everton,0,0,0,0,154,220,210,165,-167,-0.25
E0,27/12/2017,Newcastle,Man City,0,1,0,1,1200,575,-400,-208,200,2
E0,28/12/2017,Crystal Palace,Arsenal,2,3,0,1,350,300,-125,-149,138,0.75
E0,30/12/2017,Bournemouth,Everton,2,1,1,0,137,229,229,125,-125,-0.25
E0,30/12/2017,Chelsea,Stoke,5,0,3,0,-625,750,1800,-200,185,-2
E0,30/12/2017,Huddersfield,Burnley,0,0,0,0,137,210,250,186,-200,-0.25
E0,30/12/2017,Liverpool,Leicester,2,1,0,1,-333,500,1000,-233,220,-1.75
E0,30/12/2017,Man United,Southampton,0,0,0,0,-278,450,800,-123,115,-1.25
E0,30/12/2017,Newcastle,Brighton,0,0,0,0,114,220,300,158,-167,-0.25
E0,30/12/2017,Watford,Swansea,1,2,1,0,-152,279,500,114,-120,-0.75
E0,31/12/2017,Crystal Palace,Man City,0,0,0,0,1000,550,-357,-213,200,2
E0,31/12/2017,West Brom,Arsenal,1,1,0,0,400,300,-139,-114,107,0.75
E0,01/01/2018,Brighton,Bournemouth,2,2,1,1,137,220,239,162,-167,-0.25
E0,01/01/2018,Burnley,Liverpool,1,2,0,0,650,350,-200,-118,108,1
E0,01/01/2018,Everton,Man United,0,2,0,0,450,250,-125,144,-143,0.75
E0,01/01/2018,Leicester,Huddersfield,3,0,0,0,-152,279,500,107,-110,-0.75
