Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,B365>2.5,B365<2.5
E0,20/11/10,Man United,Wigan,2,0,1,0,-455,500,1400,-154,151
E0,20/11/10,West Brom,Stoke,0,3,0,0,120,220,250,114,-118
E0,21/11/10,Blackburn,Aston Villa,2,0,1,0,130,225,225,125,-125
E0,21/11/10,Fulham,Man City,1,4,0,3,220,210,140,138,-133
E0,22/11/10,Sunderland,Everton,2,2,1,1,160,220,180,142,-149
E0,27/11/10,Aston Villa,Arsenal,2,4,0,2,240,230,120,109,-104
E0,27/11/10,Bolton,Blackpool,2,2,0,1,-175,320,450,-154,163
E0,27/11/10,Everton,West Brom,1,4,1,2,-175,280,550,-111,112
E0,27/11/10,Fulham,Birmingham,1,1,0,1,100,230,300,139,-147
E0,27/11/10,Man United,Blackburn,7,1,3,0,-400,450,1200,-128,138
E0,27/11/10,Stoke,Man City,1,1,0,0,240,225,120,126,-133
E0,27/11/10,West Ham,Wigan,3,1,1,0,100,250,275,126,-123
E0,27/11/10,Wolves,Sunderland,3,2,0,0,160,220,180,125,-115
E0,28/11/10,Newcastle,Chelsea,1,1,1,1,400,260,-137,-110,111
E0,28/11/10,Tottenham,Liverpool,2,1,0,1,100,240,280,100,103
E0,04/12/10,Arsenal,Fulham,2,1,1,1,-345,425,1100,-145,134
E0,04/12/10,Birmingham,Tottenham,1,1,0,1,250,240,110,105,-112
E0,04/12/10,Blackburn,Wolves,3,0,2,0,-137,260,400,-105,-101
E0,04/12/10,Chelsea,Everton,1,1,1,0,-278,375,800,-127,120
E0,04/12/10,Man City,Bolton,1,0,1,0,-189,300,550,-105,-102
E0,04/12/10,Wigan,Stoke,2,2,2,2,175,220,163,140,-152
E0,05/12/10,Sunderland,West Ham,1,0,1,0,-120,250,350,111,-119
E0,05/12/10,West Brom,Newcastle,3,1,1,0,125,230,225,-106,101
E0,06/12/10,Liverpool,Aston Villa,3,0,2,0,-161,275,500,100,-108
E0,11/12/10,Aston Villa,West Brom,2,1,1,0,110,230,260,-114,111
E0,11/12/10,Everton,Wigan,0,0,0,0,-250,350,800,-111,106
E0,11/12/10,Fulham,Sunderland,0,0,0,0,120,225,240,135,-147
E0,11/12/10,Newcastle,Liverpool,3,1,1,0,280,240,100,-102,-106
E0,11/12/10,Stoke,Blackpool,0,1,0,0,-161,300,450,-147,138
E0,11/12/10,West Ham,Man City,1,3,0,1,350,260,-125,108,-111
E0,12/12/10,Bolton,Blackburn,2,1,0,0,100,230,300,100,-103
E0,12/12/10,Tottenham,Chelsea,1,1,1,0,180,225,160,104,-110
E0,12/12/10,Wolves,Birmingham,1,0,1,0,140,225,200,123,-133
E0,13/12/10,Man United,Arsenal,1,0,1,0,100,240,280,-105,100
E0,18/12/10,Blackburn,West Ham,1,1,0,0,-125,260,350,-105,104
E0,18/12/10,Sunderland,Bolton,1,0,1,0,120,220,250,107,-114
E0,20/12/10,Man City,Everton,1,2,0,2,-137,260,400,111,-118
E0,26/12/10,Aston Villa,Tottenham,1,2,0,1,220,230,130,-110,106
E0,26/12/10,Blackburn,Stoke,0,2,0,0,130,220,220,114,-125
E0,26/12/10,Bolton,West Brom,2,0,1,0,110,225,275,-116,113
E0,26/12/10,Fulham,West Ham,1,3,1,2,-110,240,320,128,-137
E0,26/12/10,Man United,Sunderland,2,0,1,0,-345,450,1000,-135,127
E0,26/12/10,Newcastle,Man City,1,3,0,2,225,225,125,100,-104
E0,26/12/10,Wolves,Wigan,1,2,0,2,110,230,260,125,-133
E0,27/12/10,Arsenal,Chelsea,3,1,1,0,163,220,175,-105,100
E0,28/12/10,Birmingham,Man United,1,1,0,0,550,333,-200,112,-116
E0,28/12/10,Man City,Aston Villa,4,0,3,0,-227,320,700,-108,103
E0,28/12/10,Stoke,Fulham,0,2,0,2,-120,240,375,144,-149
E0,28/12/10,Sunderland,Blackpool,0,2,0,0,-161,275,500,-132,130
E0,28/12/10,Tottenham,Newcastle,2,0,0,0,-189,300,550,-130,128
E0,28/12/10,West Brom,Blackburn,1,3,1,1,-120,250,350,-101,-103
E0,28/12/10,West Ham,Everton,1,1,1,1,240,220,125,121,-127
E0,29/12/10,Chelsea,Bolton,1,0,0,0,-345,450,1000,-145,138
E0,29/12/10,Liverpool,Wolves,0,1,0,0,-303,400,900,-139,129
E0,29/12/10,Wigan,Arsenal,2,2,1,2,550,320,-200,-110,105
E0,01/01/11,Birmingham,Arsenal,0,3,0,1,450,260,-149,-102,-104
E0,01/01/11,Liverpool,Bolton,2,1,0,1,-143,275,400,112,-115
E0,01/01/11,Man City,Blackpool,1,0,1,0,-345,450,900,138,-132
