Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,BbMx>2.5,BbMx<2.5,BbAHh
I1,28/10/2018,Cagliari,Chievo,2,1,1,0,-164,280,500,120,-118,-1
I1,28/10/2018,Genoa,Udinese,2,2,1,0,110,220,280,131,-143,-0.25
I1,28/10/2018,Milan,Sampdoria,3,2,2,2,-200,333,550,-133,125,-1
I1,28/10/2018,Napoli,Roma,1,1,0,1,-139,275,375,-143,130,-1
I1,28/10/2018,Sassuolo,Bologna,2,2,1,1,-111,225,350,130,-139,-1
I1,28/10/2018,Spal,Frosinone,0,3,0,1,-125,275,350,125,-133,-1
I1,29/10/2018,Lazio,Inter,0,3,0,2,140,240,200,-118,110,0
I1,31/10/2018,Milan,Genoa,2,1,1,0,-227,350,650,-125,120,-1
I1,02/11/2018,Napoli,Empoli,5,1,2,0,-500,600,1400,-185,181,-1.75
I1,03/11/2018,Fiorentina,Roma,1,1,1,0,170,240,160,-130,122,0
I1,03/11/2018,Inter,Genoa,5,0,2,0,-278,400,800,-141,130,-1
I1,03/11/2018,Juventus,Cagliari,3,1,2,1,-625,650,1600,-175,163,-2
I1,04/11/2018,Bologna,Atalanta,1,2,1,0,400,270,-139,-102,-104,1
I1,04/11/2018,Chievo,Sassuolo,0,2,0,1,260,240,110,111,-116,0.25
I1,04/11/2018,Lazio,Spal,4,1,2,1,-303,425,900,-149,139,-1.5
I1,04/11/2018,Parma,Frosinone,0,0,0,0,-105,250,300,105,-111,-1
I1,04/11/2018,Sampdoria,Torino,1,4,0,2,170,220,170,115,-123,0
I1,04/11/2018,Udinese,Milan,0,1,0,0,320,250,-111,102,-108,0.75
I1,09/11/2018,Frosinone,Fiorentina,1,1,0,0,425,260,-143,107,-111,1
I1,10/11/2018,Genoa,Napoli,1,2,1,0,600,350,-227,-133,125,1
I1,10/11/2018,Spal,Cagliari,2,2,1,0,145,210,210,138,-139,-0.25
I1,10/11/2018,Torino,Parma,1,2,1,2,-227,320,750,-104,100,-1
I1,11/11/2018,Atalanta,Inter,4,1,1,0,175,230,160,-105,101,0
I1,11/11/2018,Chievo,Bologna,2,2,2,1,190,220,160,145,-154,0
I1,11/11/2018,Empoli,Udinese,2,1,1,0,120,230,250,111,-118,-0.25
I1,11/11/2018,Milan,Juventus,0,2,0,1,375,275,-139,109,-109,0.75
I1,11/11/2018,Roma,Sampdoria,4,1,1,0,-227,350,600,-164,155,-1
I1,11/11/2018,Sassuolo,Lazio,1,1,1,1,300,250,-105,-130,120,0.25
I1,24/11/2018,Inter,Frosinone,3,0,1,0,-400,500,1100,-167,164,-2
I1,24/11/2018,Juventus,Spal,2,0,1,0,-714,700,1800,-167,165,-2
I1,24/11/2018,Udinese,Roma,1,0,0,0,350,260,-120,-123,117,1
I1,25/11/2018,Bologna,Fiorentina,0,0,0,0,300,230,104,116,-125,0.25
I1,25/11/2018,Empoli,Atalanta,3,2,1,2,425,300,-152,-143,136,1
I1,25/11/2018,Genoa,Sampdoria,1,1,1,1,160,230,175,105,-111,-0.25
I1,25/11/2018,Lazio,Milan,1,1,0,0,-118,275,320,-119,110,-1
I1,25/11/2018,Napoli,Chievo,0,0,0,0,-833,800,1800,-244,225,-2.5
I1,25/11/2018,Parma,Sassuolo,2,1,2,1,210,240,130,-110,103,0.25
I1,26/11/2018,Cagliari,Torino,0,0,0,0,190,220,154,125,-133,0.25
I1,01/12/2018,Fiorentina,Juventus,0,3,0,1,500,275,-164,112,-118,1
I1,01/12/2018,Sampdoria,Bologna,4,1,3,1,100,230,300,113,-120,-1
I1,01/12/2018,Spal,Empoli,2,2,1,2,140,230,200,107,-105,-0.25
I1,02/12/2018,Chievo,Lazio,1,1,1,0,700,320,-227,-125,117,1
I1,02/12/2018,Frosinone,Cagliari,1,1,1,0,200,230,140,115,-125,0.25
I1,02/12/2018,Milan,Parma,2,1,0,0,-250,400,650,-154,145,-1
I1,02/12/2018,Roma,Inter,2,2,0,1,180,240,145,-118,114,0.25
I1,02/12/2018,Sassuolo,Udinese,0,0,0,0,-111,250,300,105,-111,-1
I1,02/12/2018,Torino,Genoa,2,1,2,1,-133,275,375,105,-115,-1
I1,03/12/2018,Atalanta,Napoli,1,2,0,1,230,260,114,-133,125,0.25
I1,07/12/2018,Juventus,Inter,1,0,0,0,-189,280,550,116,-122,-1
I1,08/12/2018,Cagliari,Roma,2,2,0,2,350,260,-120,-125,116,0.75
I1,08/12/2018,Lazio,Sampdoria,2,2,0,1,-227,375,600,-147,140,-1.5
I1,08/12/2018,Napoli,Frosinone,4,0,2,0,-625,700,1400,-222,205,-2
I1,09/12/2018,Empoli,Bologna,2,1,1,1,-105,250,300,-105,101,-0.5
I1,09/12/2018,Genoa,Spal,1,1,1,1,100,230,300,120,-125,-0.5
I1,09/12/2018,Milan,Torino,0,0,0,0,-118,260,333,-111,105,-1
I1,09/12/2018,Parma,Chievo,1,1,0,0,104,230,280,120,-127,-0.25
I1,09/12/2018,Sassuolo,Fiorentina,3,3,0,0,180,220,160,110,-118,0
I1,09/12/2018,Udinese,Atalanta,1,3,1,1,333,275,-125,-118,111,1
I1,15/12/2018,Inter,Udinese,1,0,0,0,-333,400,1000,-133,122,-1.5
I1,15/12/2018,Torino,Juventus,0,1,0,0,550,260,-164,120,-130,1
I1,16/12/2018,Cagliari,Napoli,0,1,0,0,650,350,-227,-118,110,1.5
I1,16/12/2018,Fiorentina,Empoli,3,1,1,1,-133,275,375,-116,108,-1
I1,16/12/2018,Frosinone,Sassuolo,0,2,0,1,260,250,104,107,-116,0.25
I1,16/12/2018,Roma,Genoa,3,2,2,2,-227,375,600,-159,150,-1.5
I1,16/12/2018,Sampdoria,Parma,2,0,0,0,-120,260,350,110,-114,-1
I1,16/12/2018,Spal,Chievo,0,0,0,0,104,230,280,135,-143,-0.5
